contract_date,contract_no.,sent_to_laserfiche_contract,sent_to_laserfiche_fixation,customer_name,consignee_name,trade_slip_contract_price,trade_slip_total_cost,trade_slip_net_price,country,agent_name,vmi,amendment,commodity,origin,contract_quality,quality_type,crop_year,local_quality_text,sales_terms,from,shipped_from_country,final_destination,destination_country,payment_terms,delivery_shipment,delivery_or_shipment_period,quantity,quantity_unit,weight_mt,net_weight_in_lots__in_mt_,gross_weight_in_lots__in_mt_,unapplied_weight_mt,uninvoiced_weight_mt,washout_weight_in_mt,uninvoiced_quantity,l_c_numbers,+__,price,price_unit,price_method,cover_month,cover_year,average_price,market_price,market_price_unit,hypothetical_exchange,hypothetical_cover_month,hypothetical_cover_year,hypothetical_on_off_ratio,hypothetical_differential_ratio,hypothetical_differential_price_unit,sas_approved,posting_dates,on_call_balance,total_weight_fixed,number_of_lot_to_be_fixed,number_of_lot_fixed,trade_slip_price,market_price2,selling_commission,buying_commission,fob_nett,anticipated_margin,anticipated_purchase_price,costs_to_fob_new_trade_slip,freight_new_trade_slip,insurance_new_trade_slip,other_costs_new_trade_slip,controlling_costs_new_trade_slip,bank_charges_costs_new_trade_slip,weight_loss_costs_new_trade_slip,interest_costs_new_trade_slip,cost_hedge_costs_new_trade_slip,custom_charge_costs_new_trade_slip,custom_duties_costs_new_trade_slip,customer,commission_price_unit,commission_on_amount_rate__%_,commission_on_quantity_sign,commission_on_quantity_rate,commission_on_weight_sign,commission_on_weight_rate,commission_on_price_unit_sign,commission_on_price_unit_rate,agent_commission_price_unit,agent_on_amount_rate__%_,agent_on_weight_sign,agent_on_price_unit_rate,periods__begin_,periods__end_,price__exchange_,exchange_price_unit,s.i._no.,s.i._date,advice_no.,advice_date,fixation_date,created_on,created_by,invoiced,invoiced_on,third_party_invoiced_amount,third_party_currency,margin_percentage,is_invoiced
2023-03-28,CT2023030011,0,1,Global Trading Co.,Port Logistics Ltd.,8219.89,6986.91,259255.33,Saudi Arabia,,,,Cashew Kernels W240,Ghana,,,2023,,CFR,Ghana,Ghana,Saudi Arabia,Saudi Arabia,LC 30 days,Prompt,March 2023,2,Containers,31.54,31.54,32.17,0,0.0,0,0,,,8219.89,USD/MT,Fixed,,,8219.89,8008.64,USD/MT,,,,,,,1,,0,31.54,0,2,8219.89,,2592.55,1296.28,254070.22,38888.19,6986.91,698.69,1577.0,518.51,1296.28,0,259.26,0,0,0,0,0,Global Trading Co.,USD/MT,1.0,,0,,0,,0,,0,,0,2023-03-28,2023-04-27,,,,,,,,2023-03-28,System,1,2023-05-24,252584.88,GBP,15.0,1
2024-04-13,CT2024040012,0,0,American Cashew Corp.,Port Logistics Ltd.,11269.17,9578.79,581263.79,Germany,,,,Cashew Kernels Pieces,Ghana,,,2024,,FOB,Ghana,Ghana,Germany,Germany,CAD,Prompt,April 2024,3,Containers,51.58,51.58,52.61,0,51.58,0,3,,,11269.17,USD/MT,Fixed,,,11269.17,11159.43,USD/MT,,,,,,,1,,0,0.0,0,0,11269.17,,5812.64,2906.32,569638.51,87189.8,9578.79,957.88,2579.0,1162.53,2906.32,0,581.26,0,0,0,0,0,American Cashew Corp.,USD/MT,1.0,,0,,0,,0,,0,,0,2024-04-13,2024-05-13,,,,,,,,2024-04-13,System,0,,0.0,GBP,15.0,0
2022-08-12,CT2022080013,0,0,American Cashew Corp.,Express Freight Services,9949.82,8457.35,342074.81,United Kingdom,,,,Cashew Kernels BB,Mozambique,,,2022,,CIF,Mozambique,Mozambique,United Kingdom,United Kingdom,LC 30 days,Prompt,August 2022,2,Containers,34.38,34.38,35.07,0,34.38,0,2,,,9949.82,USD/MT,Fixed,,,9949.82,10101.2,USD/MT,,,,,,,0,,0,0.0,0,0,9949.82,,3420.75,1710.37,335233.31,51311.12,8457.35,845.74,1719.0,684.15,1710.37,0,342.07,0,0,0,0,0,American Cashew Corp.,USD/MT,1.0,,0,,0,,0,,0,,0,2022-08-12,2022-09-11,,,,,,,,2022-08-12,System,0,,0.0,EUR,15.0,0
2022-07-11,CT2022070014,1,1,Royal Nut Company,Express Freight Services,10807.28,9186.19,707012.26,Netherlands,,,,Cashew Kernels BB,Tanzania,,,2022,,FOB,Tanzania,Tanzania,Netherlands,Netherlands,LC 60 days,Prompt,July 2022,4,Containers,65.42,65.42,66.73,0,0.0,0,0,,,10807.28,USD/MT,Fixed,,,10807.28,10724.07,USD/MT,,,,,,,1,,0,65.42,0,4,10807.28,,7070.12,3535.06,692872.01,106051.71,9186.19,918.62,3271.0,1414.02,3535.06,0,707.01,0,0,0,0,0,Royal Nut Company,USD/MT,1.0,,0,,0,,0,,0,,0,2022-07-11,2022-08-10,,,,,,,,2022-07-11,System,1,2022-08-19,681036.74,EUR,15.0,1
2022-11-14,CT2022110015,0,0,American Cashew Corp.,Maritime Shipping Corp.,12089.24,10275.85,570491.24,United Kingdom,,,,Cashew Kernels W240,Vietnam,,,2022,,FCA,Vietnam,Vietnam,United Kingdom,United Kingdom,TT 30 days,Prompt,November 2022,3,Containers,47.19,47.19,48.13,0,0.0,0,0,,,12089.24,USD/MT,Fixed,,,12089.24,12204.13,USD/MT,,,,,,,0,,0,47.19,0,3,12089.24,,5704.91,2852.46,559081.42,85573.88,10275.85,1027.59,2359.5,1140.98,2852.46,0,570.49,0,0,0,0,0,American Cashew Corp.,USD/MT,1.0,,0,,0,,0,,0,,0,2022-11-14,2022-12-14,,,,,,,,2022-11-14,System,1,2022-12-31,544251.82,USD,15.0,1
2024-04-06,CT2024040016,0,1,Asia Pacific Imports,Quick Ship Logistics,12601.61,10711.37,997291.42,United Kingdom,,,,Cashew Kernels W240,Mozambique,,,2024,,FCA,Mozambique,Mozambique,United Kingdom,United Kingdom,TT 30 days,Prompt,April 2024,5,Containers,79.14,79.14,80.72,0,79.14,0,5,,,12601.61,USD/MT,Fixed,,,12601.61,12272.31,USD/MT,,,,,,,1,,0,0.0,0,0,12601.61,,9972.91,4986.46,977345.59,149593.6,10711.37,1071.14,3957.0,1994.58,4986.46,0,997.29,0,0,0,0,0,Asia Pacific Imports,USD/MT,1.0,,0,,0,,0,,0,,0,2024-04-06,2024-05-06,,,,,,,,2024-04-06,System,0,,0.0,EUR,15.0,0
2022-09-26,CT2022090017,1,0,Sunrise Trading LLC,Maritime Shipping Corp.,14989.18,12740.8,259762.49,Australia,,,,Cashew Kernels W320,Ivory Coast,,,2022,,FOB,Ivory Coast,Ivory Coast,Australia,Australia,LC 30 days,Prompt,September 2022,1,Containers,17.33,17.33,17.68,0,0.0,0,0,,,14989.18,USD/MT,Fixed,,,14989.18,15557.67,USD/MT,,,,,,,1,,0,17.33,0,1,14989.18,,2597.62,1298.81,254567.24,38964.43,12740.8,1274.08,866.5,519.52,1298.81,0,259.76,0,0,0,0,0,Sunrise Trading LLC,USD/MT,1.0,,0,,0,,0,,0,,0,2022-09-26,2022-10-26,,,,,,,,2022-09-26,System,1,2022-10-27,248494.73,GBP,15.0,1
2023-08-07,CT2023080018,1,0,Euro Nuts Ltd.,Coastal Distribution,13649.7,11602.25,1326477.85,China,,,,Cashew Kernels LWP,Mozambique,,,2023,,FCA,Mozambique,Mozambique,China,China,LC 30 days,Prompt,August 2023,5,Containers,97.18,97.18,99.12,0,97.18,0,5,,,13649.7,USD/MT,Fixed,,,13649.7,14248.83,USD/MT,,,,,,,0,,0,0.0,0,0,13649.7,,13264.78,6632.39,1299948.29,198971.2,11602.25,1160.23,4859.0,2652.96,6632.39,0,1326.48,0,0,0,0,0,Euro Nuts Ltd.,USD/MT,1.0,,0,,0,,0,,0,,0,2023-08-07,2023-09-06,,,,,,,,2023-08-07,System,0,,0.0,GBP,15.0,0
2023-06-26,CT2023060019,1,0,Asia Pacific Imports,Port Logistics Ltd.,9474.41,8053.25,472583.57,Saudi Arabia,,,,Cashew Kernels W450,Mozambique,,,2023,,CFR,Mozambique,Mozambique,Saudi Arabia,Saudi Arabia,LC 60 days,Prompt,June 2023,3,Containers,49.88,49.88,50.88,0,0.0,0,0,,,9474.41,USD/MT,Fixed,,,9474.41,9088.14,USD/MT,,,,,,,1,,0,49.88,0,3,9474.41,,4725.84,2362.92,463131.9,70887.46,8053.25,805.33,2494.0,945.17,2362.92,0,472.58,0,0,0,0,0,Asia Pacific Imports,USD/MT,1.0,,0,,0,,0,,0,,0,2023-06-26,2023-07-26,,,,,,,,2023-06-26,System,1,2023-07-27,460896.79,GBP,15.0,1
2023-07-21,CT2023070020,0,1,Global Trading Co.,Warehouse Solutions Inc.,11092.85,9428.92,537337.65,Japan,,,,Cashew Kernels W450,Nigeria,,,2023,,EXW,Nigeria,Nigeria,Japan,Japan,TT 30 days,Prompt,July 2023,3,Containers,48.44,48.44,49.41,0,0.0,0,0,,,11092.85,USD/MT,Fixed,,,11092.85,11184.38,USD/MT,,,,,,,0,,0,48.44,0,3,11092.85,,5373.38,2686.69,526590.9,80600.77,9428.92,942.89,2422.0,1074.68,2686.69,0,537.34,0,0,0,0,0,Global Trading Co.,USD/MT,1.0,,0,,0,,0,,0,,0,2023-07-21,2023-08-20,,,,,,,,2023-07-21,System,1,2023-09-18,534756.51,USD,15.0,1
2024-05-30,CT2024050021,1,0,Euro Nuts Ltd.,Warehouse Solutions Inc.,9746.71,8284.7,477783.72,France,,,,Cashew Kernels W240,Ivory Coast,,,2024,,FOB,Ivory Coast,Ivory Coast,France,France,LC 90 days,Prompt,May 2024,3,Containers,49.02,49.02,50.0,0,49.02,0,3,,,9746.71,USD/MT,Fixed,,,9746.71,10161.69,USD/MT,,,,,,,0,,0,0.0,0,0,9746.71,,4777.84,2388.92,468228.05,71667.73,8284.7,828.47,2451.0,955.57,2388.92,0,477.78,0,0,0,0,0,Euro Nuts Ltd.,USD/MT,1.0,,0,,0,,0,,0,,0,2024-05-30,2024-06-29,,,,,,,,2024-05-30,System,0,,0.0,GBP,15.0,0
2022-11-29,CT2022110022,1,0,Blue Ocean Exports,Global Storage Co.,10325.3,8776.5,380900.32,Brazil,,,,Cashew Kernels W240,Tanzania,,,2022,,EXW,Tanzania,Tanzania,Brazil,Brazil,CAD,Prompt,November 2022,2,Containers,36.89,36.89,37.63,0,36.89,0,2,,,10325.3,USD/MT,Fixed,,,10325.3,10622.02,USD/MT,,,,,,,0,,0,0.0,0,0,10325.3,,3809.0,1904.5,373282.31,57135.23,8776.5,877.65,1844.5,761.8,1904.5,0,380.9,0,0,0,0,0,Blue Ocean Exports,USD/MT,1.0,,0,,0,,0,,0,,0,2022-11-29,2022-12-29,,,,,,,,2022-11-29,System,0,,0.0,GBP,15.0,0
2024-02-23,CT2024020023,1,0,Green Valley Foods,Warehouse Solutions Inc.,11222.12,9538.8,421166.16,China,,,,Cashew Kernels SW,Tanzania,,,2024,,CFR,Tanzania,Tanzania,China,China,LC 60 days,Prompt,February 2024,2,Containers,37.53,37.53,38.28,0,0.0,0,0,,,11222.12,USD/MT,Fixed,,,11222.12,11746.07,USD/MT,,,,,,,1,,0,37.53,0,2,11222.12,,4211.66,2105.83,412742.84,63175.0,9538.8,953.88,1876.5,842.33,2105.83,0,421.17,0,0,0,0,0,Green Valley Foods,USD/MT,1.0,,0,,0,,0,,0,,0,2024-02-23,2024-03-24,,,,,,,,2024-02-23,System,1,2024-03-21,408498.87,USD,15.0,1
2023-12-21,CT2023120024,1,1,Sunrise Trading LLC,Inland Warehousing,14792.8,12573.88,236093.09,South Korea,,,,Cashew Kernels Splits,Ghana,,,2023,,CIF,Ghana,Ghana,South Korea,South Korea,TT 30 days,Prompt,December 2023,1,Containers,15.96,15.96,16.28,0,0.0,0,0,,,14792.8,USD/MT,Fixed,,,14792.8,14949.91,USD/MT,,,,,,,0,,0,15.96,0,1,14792.8,,2360.93,1180.47,231371.23,35413.97,12573.88,1257.39,798.0,472.19,1180.47,0,236.09,0,0,0,0,0,Sunrise Trading LLC,USD/MT,1.0,,0,,0,,0,,0,,0,2023-12-21,2024-01-20,,,,,,,,2023-12-21,System,1,2024-02-12,229418.31,EUR,15.0,1
2024-02-28,CT2024020025,0,1,Royal Nut Company,Quick Ship Logistics,14479.03,12307.18,898134.23,United Kingdom,,,,Cashew Kernels W240,Ivory Coast,,,2024,,FCA,Ivory Coast,Ivory Coast,United Kingdom,United Kingdom,CAD,Prompt,February 2024,4,Containers,62.03,62.03,63.27,0,62.03,0,4,,,14479.03,USD/MT,Fixed,,,14479.03,14379.56,USD/MT,,,,,,,1,,0,0.0,0,0,14479.03,,8981.34,4490.67,880171.55,134719.85,12307.18,1230.72,3101.5,1796.27,4490.67,0,898.13,0,0,0,0,0,Royal Nut Company,USD/MT,1.0,,0,,0,,0,,0,,0,2024-02-28,2024-03-29,,,,,,,,2024-02-28,System,0,,0.0,GBP,15.0,0
2023-10-05,CT2023100026,0,1,Sunrise Trading LLC,Port Logistics Ltd.,12880.46,10948.39,865824.52,Saudi Arabia,,,,Cashew Kernels LWP,Ivory Coast,,,2023,,FCA,Ivory Coast,Ivory Coast,Saudi Arabia,Saudi Arabia,LC 60 days,Prompt,October 2023,4,Containers,67.22,67.22,68.56,0,0.0,0,0,,,12880.46,USD/MT,Fixed,,,12880.46,12759.48,USD/MT,,,,,,,0,,0,67.22,0,4,12880.46,,8658.25,4329.12,848508.03,129873.74,10948.39,1094.84,3361.0,1731.65,4329.12,0,865.82,0,0,0,0,0,Sunrise Trading LLC,USD/MT,1.0,,0,,0,,0,,0,,0,2023-10-05,2023-11-04,,,,,,,,2023-10-05,System,1,2023-11-13,851855.22,USD,15.0,1
2023-09-15,CT2023090027,1,0,Middle East Trading,Express Freight Services,12729.39,10819.98,879218.97,South Korea,,,,Cashew Kernels Splits,Nigeria,,,2023,,FCA,Nigeria,Nigeria,South Korea,South Korea,TT Advance,Prompt,September 2023,4,Containers,69.07,69.07,70.45,0,0.0,0,0,,,12729.39,USD/MT,Fixed,,,12729.39,13134.72,USD/MT,,,,,,,0,,0,69.07,0,4,12729.39,,8792.19,4396.09,861634.59,131882.95,10819.98,1082.0,3453.5,1758.44,4396.09,0,879.22,0,0,0,0,0,Middle East Trading,USD/MT,1.0,,0,,0,,0,,0,,0,2023-09-15,2023-10-15,,,,,,,,2023-09-15,System,1,2023-10-05,847733.54,GBP,15.0,1
2023-09-28,CT2023090028,0,1,American Cashew Corp.,Express Freight Services,12278.92,10437.08,477281.62,Netherlands,,,,Cashew Kernels W240,Vietnam,,,2023,,FOB,Vietnam,Vietnam,Netherlands,Netherlands,TT Advance,Prompt,September 2023,2,Containers,38.87,38.87,39.65,0,38.87,0,2,,,12278.92,USD/MT,Fixed,,,12278.92,12272.02,USD/MT,,,,,,,0,,0,0.0,0,0,12278.92,,4772.82,2386.41,467735.99,71592.32,10437.08,1043.71,1943.5,954.56,2386.41,0,477.28,0,0,0,0,0,American Cashew Corp.,USD/MT,1.0,,0,,0,,0,,0,,0,2023-09-28,2023-10-28,,,,,,,,2023-09-28,System,0,,0.0,EUR,15.0,0
2022-10-30,CT2022100029,1,1,Sunrise Trading LLC,Warehouse Solutions Inc.,13628.77,11584.45,892684.44,Brazil,,,,Cashew Kernels W320,Nigeria,,,2022,,FCA,Nigeria,Nigeria,Brazil,Brazil,TT Advance,Prompt,October 2022,4,Containers,65.5,65.5,66.81,0,0.0,0,0,,,13628.77,USD/MT,Fixed,,,13628.77,14242.12,USD/MT,,,,,,,1,,0,65.5,0,4,13628.77,,8926.84,4463.42,874830.75,133902.96,11584.45,1158.45,3275.0,1785.37,4463.42,0,892.68,0,0,0,0,0,Sunrise Trading LLC,USD/MT,1.0,,0,,0,,0,,0,,0,2022-10-30,2022-11-29,,,,,,,,2022-10-30,System,1,2022-11-21,868424.04,USD,15.0,1
2024-10-30,CT2024100030,1,0,Pacific Rim Foods,Inland Warehousing,9730.68,8271.08,643684.48,Australia,,,,Cashew Kernels BB,India,,,2024,,CFR,India,India,Australia,Australia,TT 30 days,Prompt,October 2024,4,Containers,66.15,66.15,67.47,0,0.0,0,0,,,9730.68,USD/MT,Fixed,,,9730.68,9508.54,USD/MT,,,,,,,1,,0,66.15,0,4,9730.68,,6436.84,3218.42,630810.79,96552.54,8271.08,827.11,3307.5,1287.37,3218.42,0,643.68,0,0,0,0,0,Pacific Rim Foods,USD/MT,1.0,,0,,0,,0,,0,,0,2024-10-30,2024-11-29,,,,,,,,2024-10-30,System,1,2024-12-01,625657.21,EUR,15.0,1
2022-06-15,CT2022060031,0,1,Euro Nuts Ltd.,Global Storage Co.,10853.2,9225.22,341984.33,United Kingdom,,,,Cashew Kernels W450,Tanzania,,,2022,,FCA,Tanzania,Tanzania,United Kingdom,United Kingdom,TT Advance,Prompt,June 2022,2,Containers,31.51,31.51,32.14,0,0.0,0,0,,,10853.2,USD/MT,Fixed,,,10853.2,10828.22,USD/MT,,,,,,,1,,0,31.51,0,2,10853.2,,3419.84,1709.92,335144.64,51297.65,9225.22,922.52,1575.5,683.97,1709.92,0,341.98,0,0,0,0,0,Euro Nuts Ltd.,USD/MT,1.0,,0,,0,,0,,0,,0,2022-06-15,2022-07-15,,,,,,,,2022-06-15,System,1,2022-07-26,331544.86,EUR,15.0,1
2023-09-04,CT2023090032,1,1,Blue Ocean Exports,Land Transport Group,11822.93,10049.49,1093029.88,China,,,,Cashew Kernels Pieces,Nigeria,,,2023,,FCA,Nigeria,Nigeria,China,China,LC 60 days,Prompt,September 2023,5,Containers,92.45,92.45,94.3,0,0.0,0,0,,,11822.93,USD/MT,Fixed,,,11822.93,12022.59,USD/MT,,,,,,,1,,0,92.45,0,5,11822.93,,10930.3,5465.15,1071169.28,163954.53,10049.49,1004.95,4622.5,2186.06,5465.15,0,1093.03,0,0,0,0,0,Blue Ocean Exports,USD/MT,1.0,,0,,0,,0,,0,,0,2023-09-04,2023-10-04,,,,,,,,2023-09-04,System,1,2023-10-16,1064919.45,EUR,15.0,1
2022-12-05,CT2022120033,1,1,Green Valley Foods,Coastal Distribution,12641.0,10744.85,903452.27,Brazil,,,,Cashew Kernels W240,India,,,2022,,FOB,India,India,Brazil,Brazil,CAD,Prompt,December 2022,4,Containers,71.47,71.47,72.9,0,0.0,0,0,,,12641.0,USD/MT,Fixed,,,12641.0,12422.76,USD/MT,,,,,,,1,,0,71.47,0,4,12641.0,,9034.52,4517.26,885383.22,135517.84,10744.85,1074.49,3573.5,1806.9,4517.26,0,903.45,0,0,0,0,0,Green Valley Foods,USD/MT,1.0,,0,,0,,0,,0,,0,2022-12-05,2023-01-04,,,,,,,,2022-12-05,System,1,2023-01-18,866488.83,EUR,15.0,1
